Strain	Medium	PLA	HPLA	BA	3HBA	HCaA	24dHBA	Cat	4HBA	VA	CaA	p0CoumA
StrainA	MRS	50555.200	97.0	599.0	709.0	89.0	11.0	105.0	0	101.0	0	0
StrainA	MRS_erytr	60.4	10.6	745.0	89.0	86.0	12.0	169.0	0	57.0	0	0
StrainA	MRS_lakt	57.5	9.3	709.0	85.0	75.0	11.0	122.0	0	80.0	6.0	0
StrainA	MRS_ksyl	65.4	11.0	449.0	92.0	79.0	13.0	183.0	0	61.0	0	0
StrainA	MRS_malt	52.8	9.8	613.0	86.0	79.0	12.0	129.0	0	91.0	0	0
StrainA	MRS_mann	59.0	9.5	477.0	90.0	74.0	16.0	193.0	0	85.0	0	0
StrainA	MRS_sorb	62.0	10.6	549.0	92.0	89.0	12.0	188.0	0	65.0	0	0
StrainA	MRS_GE	84300.0	24300.0	440.0	79.0	69.0	23.0	58.0	8.0	115.0	2.0	0
StrainA	MRS_GX	80200.0	23200.0	419.0	66.0	66.0	22.0	45.0	0	123.0	0	0
StrainA	MRS_GS	52200.0	9300.0	591.0	86.0	95.0	11.0	171.0	0	65.0	0	0
StrainB	MRS	72400.0	5300.0	812.0	93.0	110.0	24.0	87.0	0	134.0	17.0	14.0
StrainB	MRS_erytr	73.6	4.6	581.0	71.0	88.0	10.0	57.0	0	87.0	0	0
StrainB	MRS_lakt	71.3	5.9	604.0	77.0	109.0	10.0	43.0	0	93.0	0	0
StrainB	MRS_ksyl	66.3	4.3	530.0	62.0	121.0	10.0	50.0	0	54.0	0	0
StrainB	MRS_malt	81.4	4.7	675.0	83.0	105.0	9.0	71.0	0	104.0	0	0
StrainB	MRS_mann	72.8	4.7	470.0	67.0	107.0	13.0	40.0	0	90.0	0	0
StrainB	MRS_sorb	81.7	4.8	684.0	81.0	109.0	12.0	77.0	0	95.0	0	0
StrainB	MRS_GX	84500.0	13700.0	464.0	74.0	96.0	22.0	9.0	10.0	124.0	2.0	0
StrainB	MRS_GS	55400.0	3400.0	481.0	45.0	78.0	7.0	36.0	0	58.0	0	0
StrainA	MRS	39600.0	4500.0	591.0	63.0	94.0	9.0	28.0	0	0	0	4.0
StrainA	MRS_erytr	41.0	4.7	502.0	69.0	75.0	10.0	30.0	0	43.0	0	2.0
StrainA	MRS_lakt	39.6	5.1	725.0	72.0	88.0	13.0	33.0	0	50.0	6.0	6.0
StrainA	MRS_ksyl	34.6	4.4	551.0	63.0	72.0	9.0	34.0	0	42.0	3.0	4.0
StrainA	MRS_malt	40.4	4.5	488.0	65.0	92.0	9.0	31.0	0	21.0	0	4.0
StrainA	MRS_mann	38.6	4.5	612.0	71.0	65.0	15.0	34.0	16.0	45.0	6.0	7.0
StrainA	MRS_sorb	34.4	4.3	600.0	59.0	70.0	9.0	32.0	0	40.0	0	2.0
StrainA	MRS_GE	99000.0	30000.0	522.0	88.0	83.0	26.0	59.0	11.0	141.0	2.0	0
StrainA	MRS_GX	93500.0	27400.0	484.0	80.0	72.0	26.0	61.0	8.0	157.0	0	0
StrainA	MRS_GS	32500.0	4300.0	622.0	64.0	73.0	10.0	36.0	0	49.0	3.0	5.0
StrainB	MRS	47200.0	7500.0	526.0	71.0	89.0	11.0	112.0	0	130.0	0	0
StrainB	MRS_erytr	39.2	6.6	618.0	69.0	63.0	9.0	81.0	0	127.0	0	0
StrainB	MRS_lakt	35.3	6.3	592.0	59.0	61.0	9.0	79.0	0	111.0	0	0
StrainB	MRS_ksyl	41.8	7.2	488.0	67.0	61.0	8.0	94.0	0	120.0	0	0
StrainB	MRS_malt	38.4	7.3	642.0	71.0	68.0	10.0	109.0	0	130.0	0.1	0
StrainB	MRS_mann	43.9	7.3	595.0	74.0	63.0	10.0	112.0	0	120.0	0	0
StrainB	MRS_sorb	41.2	7.1	762.0	71.0	68.0	9.0	96.0	0	112.0	0	0
StrainB	MRS_GE	60000.0	100.0	557.0	77.0	8.0	28.0	19.0	11.0	152.0	2.0	0
StrainB	MRS_GX	78500.0	21600.0	454.0	62.0	82.0	19.0	46.0	10.0	96.0	2.0	0
StrainB	MRS_GS	34600.0	7300.0	515.0	58.0	59.0	7.0	79.0	0	95.0	0.1	0
